"id","name","applicability"
"account_tag_104401","104_401","taxes"
"account_tag_104402","104_402","taxes"
"account_tag_104403","104_403","taxes"
"account_tag_104404","104_404","taxes"
"account_tag_104405","104_405","taxes"
"account_tag_104406","104_406","taxes"
"account_tag_104407","104_407","taxes"
"account_tag_104408","104_408","taxes"
"account_tag_104431","104_431","taxes"
"account_tag_104434","104_434","taxes"
"account_tag_104500","104_500","taxes"
"account_tag_104501","104_501","taxes"
"account_tag_104502","104_502","taxes"
"account_tag_104503","104_503","taxes"
"account_tag_104504","104_504","taxes"
"account_tag_104505","104_505","taxes"
"account_tag_104506","104_506","taxes"
"account_tag_104507","104_507","taxes"
"account_tag_104508","104_508","taxes"
"account_tag_104531","104_531","taxes"
"account_tag_104532","104_532","taxes"
"account_tag_104535","104_535","taxes"
"account_tag_104609","104_609","taxes"
"account_tag_104721","104_721","taxes"
"account_tag_104723","104_723","taxes"
"account_tag_104725","104_725","taxes"
"account_tag_104727","104_727","taxes"
"account_tag_104729","104_729","taxes"
"account_tag_atsvalretbien10","ATS_valRetBien10","taxes"
"account_tag_atsvalretserv20","ATS_valRetServ20","taxes"
"account_tag_atsvalorretbienes","ATS_valorRetBienes","taxes"
"account_tag_atsvalorretservicios","ATS_valorRetServicios","taxes"
"account_tag_atsvalretserv100","ATS_valRetServ100","taxes"
"account_tag_atsbasenograiva","ATS_baseNoGraIva","taxes"
"account_tag_atsbaseimponible","ATS_baseImponible","taxes"
"account_tag_atsbaseimpgrav","ATS_baseImpGrav","taxes"
"account_tag_atsbaseimpexe","ATS_baseImpExe","taxes"
"account_tag_atsvalorretiva","ATS_valorRetIva","taxes"
